category,title,price,img_url,Brand,Material,Body Finish,Application Area,Contry of Origin,IP Rating,Warranty,Mounting System,Height,Diameter,Lamp Type,Length,Width,LED Color (CCT),Dimmable,Voice Control,Location,Cutout Diameter,Wattage,Voltage,Technical Specsheet
chandeliers,ANKUR PENTA GLO CONTEMPORARY DOUBLE HEIGHT GLASS CHANDELIER,"₹ 1,19,500",//www.ankurlighting.com/cdn/shop/products/ankur-penta-glo-contemporary-double-height-glass-chandelier-ankur-lighting-1.jpg?v=1695132024&width=1250,Ankur Lighting,Glass,Rosegold,Indoor (Dry Rated),India,IP 20,12 Months,Surface,2400MM (8 feet.),600MM (2 feet.),G4,,,,,,,,,,Download SpecSheet
chandeliers,ANKUR ZENITH BACCARAT STYLE BLACK CRYSTAL CHANDELIER,"₹ 1,75,000",//www.ankurlighting.com/cdn/shop/products/ankur-zenith-baccarat-style-black-crystal-chandelier-ankur-lighting-1.png?v=1695132047&width=1250,Ankur Lighting,Metal,Black,Indoor (Dry Rated),,,,Surface,1000MM (3.3 feet.),800MM (2.6 feet.),E27,,,,,,,,,110-220V,
chandeliers,ANKUR VEGAS 8 LIGHT GOLDEN ARMS WITH CRYSTAL CHANDELIER,"₹ 54,000",//www.ankurlighting.com/cdn/shop/products/ankur-vegas-8-light-golden-arms-with-crystal-chandelier-ankur-lighting-1.jpg?v=1695131873&width=2480,Ankur Lighting,Metal,Golden,Indoor (Dry Rated),,IP 20,12 Months,Surface,700MM (2.29 Feet),,E14,660MM (2.16 Feet),660MM (2.16 Feet),,,,,,,,
chandeliers,ANKUR BRANCH ARM HEAD CHANDELIER,"₹ 19,800",//www.ankurlighting.com/cdn/shop/products/ankur-branch-arm-head-chandelier-ankur-lighting-1.jpg?v=1695131936&width=1250,Ankur Lighting,Metal,Gold / Amber,Indoor (Dry Rated),,IP 20,12 Months,Surface,520MM (1.71 feet.),,E27,1300MM (4.27 feet.),750MM (2.46 feet.),,,,,,,,
chandeliers,ANKUR VEGAS 6 LIGHT GOLDEN ARMS CRYSTAL CHANDELIER,"₹ 34,000",//www.ankurlighting.com/cdn/shop/products/ankur-vegas-6-light-golden-arms-crystal-chandelier-ankur-lighting-1.jpg?v=1695131873&width=1250,Ankur Lighting,Metal,Gold,Indoor (Dry Rated),,,12 Months,Surface,600MM (1.97 feet.),,E14,450MM (1.48 feet.),450MM (1.48 feet.),,,,,,,110-220V,
chandeliers,ANKUR MANHATTAN 3 LIGHT BLACK METAL WITH WHITE GLASS CHANDELIER,"₹ 14,800",//www.ankurlighting.com/cdn/shop/products/ankur-manhattan-3-light-black-metal-with-white-glass-chandelier-ankur-lighting-1.jpg?v=1695131809&width=1250,Ankur Lighting,Metal,Black,Indoor (Dry Rated),,,12 Months,Surface,470MM (1.54 feet.),,E27,370MM (1.21 feet.),350MM (1.15 feet.),,,,,,,,
chandeliers,ANKUR IRIS 32 LIGHTS CLEAR CRYSTAL GRAND CHANDELIER,"₹ 1,95,000",//www.ankurlighting.com/cdn/shop/products/ankur-iris-32-lights-clear-crystal-grand-chandelier-ankur-lighting-1.jpg?v=1695131872&width=1250,Ankur Lighting,Glass,White,Indoor (Dry Rated),,IP 20,12 Months,Surface,1360MM (4.46 feet.),,E14,1200MM (3.94 feet.),1200MM (3.94 feet.),,,,,,,,
chandeliers,ANKUR FIREFLY CHANDELIER,"₹ 23,000",//www.ankurlighting.com/cdn/shop/products/ankur-firefly-chandelier-ankur-lighting-1.png?v=1695131936&width=1250,Ankur Lighting,Glass,Black,Indoor (Dry Rated),,IP 20,12 Months,Surface,(1.6 feet) 500,(1.6 feet) 500,G4,,,,,,,,,,
chandeliers,ANKUR RECTANGLE 4 LAMP CASA ANTIQUE BRASS METAL WITH GLASS CHANDELIER,"₹ 22,500",//www.ankurlighting.com/cdn/shop/products/ankur-rectangle-4-lamp-casa-antique-brass-metal-with-glass-chandelier-ankur-lighting-1.jpg?v=1695132114&width=1250,Ankur Lighting,Metal,Golden,Indoor (Dry Rated),,IP 20,,Surface,480MM (1.57 Feet),,E27,790MM (2.59 Feet),220MM (0.72 Feet),,,,,,,,
chandeliers,ANKUR BRONX 4 LIGHT RECTANGLE METAL CAGE CHANDELIER,"₹ 15,500",//www.ankurlighting.com/cdn/shop/products/ankur-bronx-4-light-rectangle-metal-cage-chandelier-ankur-lighting-1.jpg?v=1695131764&width=1250,Ankur Lighting,Metal,Black / Amber,Indoor (Dry Rated),,IP 20,12 Months,Surface,230MM (0.75 feet.),,E27,800MM (2.62 feet.),180MM (0.59 feet.),,,,,,,,
